appid,name,positive_ratings
730,"Counter-Strike: Global Offensive",2644404
570,"Dota 2",863507
440,"Team Fortress 2",515879
4000,"Garry's Mod",363721
218620,"PAYDAY 2",308657
105600,Terraria,255600
550,"Left 4 Dead 2",251789
252950,"Rocket LeagueÂ®",242561
72850,"The Elder Scrolls V: Skyrim",237303
230410,Warframe,226541
252490,Rust,220370
227300,"Euro Truck Simulator 2",176769
49520,"Borderlands 2",144595
620,"Portal 2",138220
8930,"Sid Meier's CivilizationÂ® V",129030
10,Counter-Strike,124534
221100,DayZ,118435
242760,"The Forest",110460
107410,"Arma 3",105034
203160,"Tomb Raider",93509
222880,Insurgency,92355
236390,"War Thunder",83852
8870,"BioShock Infinite",79442
239140,"Dying Light",78192
240,"Counter-Strike: Source",76640
48700,"Mount & Blade: Warband",75872
211820,Starbound,74162
250900,"The Binding of Isaac: Rebirth",72830
238960,"Path of Exile",71593
220,"Half-Life 2",67902
255710,"Cities: Skylines",67553
22380,"Fallout: New Vegas",66756
227940,"Heroes & Generals",65856
232090,"Killing Floor 2",60917
251570,"7 Days to Die",60718
244850,"Space Engineers",60221
206420,"Saints Row IV",54091
221380,"Age of Empires II HD",54090
1250,"Killing Floor",53710
400,Portal,51801
219640,"Chivalry: Medieval Warfare",51499
204360,"Castle CrashersÂ®",50273
220200,"Kerbal Space Program",49328
224260,"No More Room in Hell",48190
238460,"BattleBlock TheaterÂ®",47342
220240,"Far Cry 3",46331
238320,Outlast,45966
219150,"Hotline Miami",45809
55230,"Saints Row: The Third",44810
113200,"The Binding of Isaac",43227
212680,"FTL: Faster Than Light",42641
206440,"To the Moon",42115
205100,Dishonored,41756
236850,"Europa Universalis IV",40346
225540,"Just Causeâ„¢ 3",37747
200510,"XCOM: Enemy Unknown",36630
20920,"The Witcher 2: Assassins of Kings Enhanced Edition",36427
223470,"POSTAL 2",36263
234140,"Mad Max",36222
218230,"PlanetSide 2",35968
213670,"South Parkâ„¢: The Stick of Truthâ„¢",35896
12210,"Grand Theft Auto IV",35240
24240,"PAYDAYâ„¢ The Heist",34645
8190,"Just Cause 2",33636
208650,"Batmanâ„¢: Arkham Knight",33121
231430,"Company of Heroes 2",32548
50300,"Spec Ops: The Line",32361
214950,"Total Warâ„¢: ROME II - Emperor Edition",31864
225080,"Brothers - A Tale of Two Sons",31689
233450,"Prison Architect",31687
203770,"Crusader Kings II",31668
221910,"The Stanley Parable",31538
50130,"Mafia II",31445
48000,LIMBO,30321
236430,"DARK SOULSâ„¢ II",30008
10180,"Call of DutyÂ®: Modern WarfareÂ® 2",30006
200710,"Torchlight II",29539
6060,"Star Wars: Battlefront 2 (Classic, 2005)",29149
107100,Bastion,27887
70,Half-Life,27755
239820,"Game Dev Tycoon",27373
35450,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm",26922
12120,"Grand Theft Auto: San Andreas",26877
219990,"Grim Dawn",26805
201810,"Wolfenstein: The New Order",26727
20900,"The Witcher: Enhanced Edition Director's Cut",26380
200260,"Batman: Arkham City - Game of the Year Edition",25995
202970,"Call of DutyÂ®: Black Ops II",25827
239030,"Papers, Please",25587
242920,Banished,24653
214490,"Alien: Isolation",24534
242050,"Assassinâ€™s CreedÂ® IV Black Flagâ„¢",23904
200210,"Realm of the Mad God",23414
203140,"Hitman: Absolutionâ„¢",23277
24960,"Battlefield: Bad Companyâ„¢ 2",23093
108710,"Alan Wake",22962
248820,"Risk of Rain",22700
237930,Transistor,22158
104900,"ORION: Prelude",22057
242860,Verdun,22048
204100,"Max Payne 3",21581
250320,"The Wolf Among Us",21127
223710,"Cry of Fear",20990
42910,Magicka,20912
207140,SpeedRunners,20854
204300,"Awesomenauts - the 2D moba",20770
209000,"Batmanâ„¢: Arkham Origins",20365
35140,"Batman: Arkham Asylum Game of the Year Edition",20297
57300,"Amnesia: The Dark Descent",20222
246620,"Plague Inc: Evolved",20081
113400,"APB Reloaded",20028
221640,"Super Hexagon",19797
10090,"Call of Duty: World at War",19595
250600,"The Plan",19476
233130,"Shadow Warrior",18716
109600,Neverwinter,18517
500,"Left 4 Dead",17951
17410,"Mirror's Edgeâ„¢",17880
22370,"Fallout 3: Game of the Year Edition",17742
33930,"Arma 2: Operation Arrowhead",17683
630,"Alien Swarm",17435
108600,"Project Zomboid",17273
257510,"The Talos Principle",17237
35720,"Trine 2: Complete Story",16369
99900,"Spiral Knights",15666
41070,"Serious Sam 3: BFE",15574
244210,"Assetto Corsa",15277
243470,Watch_Dogsâ„¢,15159
17390,SPOREâ„¢,15101
1840,"Source Filmmaker",15083
236090,"Dust: An Elysian Tail",15064
10500,"Total War: EMPIRE â€“ Definitive Edition",14928
209160,"Call of DutyÂ®: Ghosts",14892
33230,"Assassin's Creed 2 Deluxe Edition",14861
220440,"DmC: Devil May Cry",14820
221040,"Resident Evil 6 / Biohazard 6",14643
3590,"Plants vs. Zombies GOTY Edition",14630
245170,Skullgirls,14298
